#SampleID	Cholic_acid	Muricholic_acid	Deoxycholic_acid	Lithocholic_acid	Chonodeoxycholic_acid	Taurine-Cholic_acid	OTU_2	OTU_12	OTU_1	OTU_4	OTU_10	OTU_14	OTU_6	OTU_26	OTU_8	OTU_9	OTU_22	OTU_16	OTU_20	OTU_35	OTU_37	OTU_29	OTU_85	OTU_25	OTU_60	OTU_13	OTU_36	OTU_207	OTU_30	OTU_38	OTU_63	OTU_57	OTU_44	OTU_17	OTU_59	OTU_19	OTU_151	OTU_43	OTU_24	OTU_3	OTU_51	OTU_39	OTU_165	OTU_32	OTU_219
V2.HFW.HFD	658.884677	3578.276507	4613.709459	243.837327	15.40390613	27.80212954	20.47223886	5.637779109	0	0.812729917	1.283257764	2.540850372	0	0	3.60167679	6.142527162	2.33552913	3.772777825	1.959106853	0	0	3.413465651	0	0.504748054	0	0.752844555	0.641628882	0.787064762	1.180597143	0.607408675	0	1.052271366	1.21481735	1.420138592	0.564633416	0.573188468	0.710069296	0	1.385918385	0	1.762340662	2.215758405	1.035161263	0	0.992386004
V20.SPF.HFD	134.5116952	2038.89837	4556.363049	332.0854687	17.73212243	10.39538856	15.04643963	2.796697626	1.599587203	10.8255934	1.558307534	1.640866873	8.823529412	0	9.969040248	0.567595459	0	3.353973168	3.302373581	0	0	2.703818369	0.784313725	0	0	0.619195046	0.835913313	0	0	0	0.598555212	0	4.922600619	0	0	1.083591331	0	0	0.619195046	0.691434469	1.320949432	1.197110423	0.990712074	0.629514964	0.959752322
V21.SPF.HFD	258.5543231	1316.12489	3578.413007	283.2203594	16.34409441	1242.683853	22.17428818	0.808886972	0.5608283	1.585418464	0	4.367989646	1.650129422	0	1.100086281	2.965918896	0	10.8175151	0	0	0	0	2.858067299	1.110871441	3.019844694	0	2.491371872	1.272648835	1.531492666	0.5608283	0	1.488352028	2.372735116	4.993528904	0	6.956427955	0.657894737	0	1.790336497	0	1.865832614	3.785591027	0.895168248	0	2.243313201
V22.SPF.HFD	839.0187497	2324.535538	3075.966003	190.964702	26.76164065	604.5748971	8.95949166	3.018268467	7.005559968	0.555996823	0.571882446	1.540905481	9.150119142	0	6.592533757	1.795075457	0	8.64177919	0.540111199	0	0	1.366163622	2.430500397	0.698967434	0.58776807	0	1.270849881	1.096108022	2.859412232	0	0.508339952	0.889594917	4.400317712	7.275615568	0	2.605242256	1.111993646	0	0.762509929	0	1.525019857	1.556791104	2.462271644	0.810166799	1.000794281
V24.SPF.HFD	850.7323605	1001.782492	2405.245003	149.0080728	25.01826585	479.5770968	27.10235464	1.153291687	1.412782316	6.122056704	1.220567035	5.85295531	4.584334455	0	2.74867852	1.922152811	0	7.352234503	0.836136473	0	1.412782316	0	2.123978856	0	1.335896204	0	1.393560788	1.105237866	0.672753484	0	0	1.028351754	2.335415666	3.046612206	0	1.633829889	0	0	0.71119654	0	1.364728496	2.123978856	2.412301778	0	1.124459395
V3.HFW.CD	31.1397895	1789.611976	1926.024534	108.8530945	2.053461252	3.385502977	0	5.856885147	8.610944077	2.525556224	9.356584486	3.319302465	3.571858088	0	4.016837041	0	0.67348166	0.577269994	3.102826218	0.709561034	0.685508118	0.757666867	0	0.541190619	0	10.39085989	0	0	0	1.238725195	0.93806374	0	0.553217078	0	1.166566446	0	0	9.116055322	0	2.597714973	0	0	0	3.006614552	0
V4.HFW.HFD	96.57664502	1523.306444	3984.614981	112.880627	4.003302887	65.99887407	10.53579469	4.063484917	0	5.279153534	0	0	1.069338136	0	4.772624944	9.151283206	1.823502927	3.872129671	1.170643854	0	0	3.782080144	0	0.979288609	0	0	1.193156236	0.9905448	3.309320126	1.3619991	0	0.855470509	0.562809545	1.542098154	0	0.709140027	1.226924809	0	4.311121117	0	1.834759118	2.442593426	1.3619991	0	1.564610536
V5.HFW.CD	119.8867088	630.0180439	516.5290252	30.15462371	4.04370028	14.66166975	0	3.63562753	10.4048583	6.825910931	2.056680162	1.190283401	1.344129555	0	1.765182186	1.295546559	0.898785425	1.854251012	2.36437247	1.206477733	0	0	0.736842105	2.153846154	0.753036437	7.004048583	1.336032389	0.574898785	1.546558704	0	0	0	0.607287449	0	0.712550607	0	0	3.408906883	0	18.53441296	0	0	1.052631579	2.234817814	0
V6.HFW.HFD	579.9061871	2402.681093	4847.49889	190.7811141	17.49698357	177.8771346	0	8.557662093	0	8.023462868	1.277888342	3.425159736	1.833036556	0	5.362941238	4.650675605	2.503404211	3.330889285	4.336440767	0.743689117	0	5.918089452	0	0.638944171	0	0.701791139	1.141719912	1.06839845	1.833036556	0	0.733214622	0.722740128	0.848434063	1.351209804	0.565622709	0.900806536	0.900806536	0	2.346286792	0	1.686393632	2.042526448	1.06839845	0.544673719	1.162668901
V7.HFW.CD	57.71566811	836.1962441	548.2798385	27.58194369	2.673041686	120.6086432	0	4.853564192	7.699392153	10.23208694	0.70915454	0.773623135	11.8898508	0	5.820593111	0	0	3.223429729	2.320869405	1.805120648	0	0	1.077546509	1.602505065	1.832750046	1.381469884	1.611714865	0.874930927	0	0.764413336	0	0.672315344	2.965555351	0	1.06833671	0	0	0.874930927	0	17.12101676	0.515748757	0	0.902560324	2.422177197	0
V8.HFW.HFD	1386.557073	3235.026591	4497.418202	139.9994427	28.23419597	106.6889132	13.40035482	3.61916026	0	4.222353637	0	0.508574808	0.733293909	0	3.051448847	10.32525133	1.845062093	6.741573034	1.632170313	0.544056771	0	2.803075103	0	0	0.615020698	0	1.454760497	1.040804258	1.821407451	1.028976937	0	1.667652277	0	1.076286221	0	1.371969249	0.993494973	0	4.376108811	0	2.164399763	3.950325251	1.312832643	0	2.081608516
V9.HFW.CD	24.8246208	1004.331919	1652.638293	197.940666	4.145607777	2.670620576	2.113754723	9.731440825	13.74451139	17.30828143	3.124680895	4.676809966	1.817624834	1.562340447	5.595833759	1.684876953	1.327478811	0.776064536	2.767282753	2.501786991	2.522209742	1.868681711	0	0	0	3.196160523	0	0	0	0	0.878178291	0	0.959869294	0	1.756356581	0	0	0.704584908	0	1.051771674	0	0	0.847544164	0	0
