#OTUId	18.SPF.CD	11.CON.HFD	20.SPF.HFD	24.SPF.HFD	2.CON.HFD	23.SPF.HFD	17.SPF.CD	1.CON.CD	3.CON.CD	13.SPF.CD	21.SPF.HFD	14.SPF.CD	16.SPF.CD	10.CON.HFD	12.CON.CD	15.SPF.CD	22.SPF.HFD	9.CON.CD	5.CON.CD	6.CON.HFD	8.CON.HFD	19.SPF.HFD	7.CON.CD	4.CON.HFD	taxonomy
OTU_98	0	80	0	0	91	0	0	0	0	0	0	0	0	107	0	1	0	0	5	26	53	0	0	17	Bacteria;Firmicutes;;;;;
OTU_84	0	48	1	0	125	0	0	0	0	2	22	0	0	61	0	0	51	1	0	31	68	9	0	43	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_100	0	45	24	7	125	0	0	0	0	1	0	0	0	10	0	0	0	0	0	16	16	0	0	20	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
OTU_95	0	55	0	0	151	0	0	0	0	1	0	0	0	54	0	0	0	0	0	27	7	0	0	1	Bacteria;Firmicutes;;;;;
OTU_256	0	34	1	4	88	5	0	0	0	0	0	0	0	8	0	0	2	0	0	26	34	1	1	2	Bacteria;Firmicutes;Clostridia;;;;
OTU_114	0	14	0	0	0	0	0	0	0	0	0	0	0	28	31	0	0	69	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
OTU_477	0	18	0	2	93	0	0	0	1	0	0	0	0	5	11	0	0	25	4	39	13	3	0	7	Bacteria;Firmicutes;;;;;
OTU_99	0	6	2	5	0	0	0	30	4	1	8	0	0	1	186	0	11	6	16	13	4	1	9	2	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_90	0	22	41	38	11	26	0	0	0	0	86	0	0	5	0	0	93	0	0	7	7	76	0	11	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_111	0	13	0	0	39	0	0	0	0	0	0	0	0	4	0	0	0	0	0	76	6	0	0	13	Bacteria;Firmicutes;Clostridia;;;;
OTU_246	0	60	29	45	44	21	0	0	0	2	72	0	0	59	0	0	22	0	0	36	66	93	0	47	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_39	0	1	712	1087	0	480	223	0	0	0	454	130	46	0	0	189	473	0	0	0	0	77	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_75	0	1	345	1	0	379	0	0	0	23	0	1	0	0	0	0	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Clostridium XI;
OTU_123	0	1	180	2	4	71	0	0	4	0	2	0	0	0	0	0	2	1	0	2	3	4	0	1	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
OTU_80	0	0	10	47	206	26	1	0	0	0	11	0	1	0	0	1	0	0	0	73	56	0	0	52	Bacteria;Candidatus Saccharibacteria;Saccharibacteria_genera_incertae_sedis;Saccharibacteria_genera_incertae_sedis;Saccharibacteria_genera_incertae_sedis;Saccharibacteria_genera_incertae_sedis;
OTU_35	0	0	0	0	1029	0	1	0	2	0	0	2	2	0	0	1	0	0	0	931	483	0	0	565	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;
OTU_71	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	87	0	0	118	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
OTU_364	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	32	0	0	14	Bacteria;Candidatus Saccharibacteria;Saccharibacteria_genera_incertae_sedis;Saccharibacteria_genera_incertae_sedis;Saccharibacteria_genera_incertae_sedis;Saccharibacteria_genera_incertae_sedis;
OTU_121	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	19	0	0	16	Bacteria;;;;;;
