SampleID	Participant.ID	TimePoints	Richness	Shannon.effective	Simpson.effective	OTU_1	OTU_2	OTU_3	OTU_4	OTU_5	OTU_6	OTU_7	OTU_8	OTU_9	OTU_10
S31	P5	t0	203	71.73	36.59	7.400051809	0.500820309	5.293152577	0.120887661	1.079354114	0.224505656	0.587168638	0.604438304	0.716691132	4.092910802
S32	P5	t1	196	71.24	36.85	8.634681943	0.387874448	3.478935434	0.005967299	0.340136054	0.268528464	0.471416637	0.381907149	0.29836496	0.763814298
S33	P6	t0	199	61.67	30.15	3.647949024	0.756670649	2.859418558	0.079649542	0.207088809	0.09557945	0.063719634	0.199123855	0.661091199	0.533651932
S34	P6	t1	201	55.6	27.24	5.952648115	0.493716338	1.980475763	0	0.033662478	0.46005386	0.044883303	0.044883303	0.880834829	0.218806104
S35	P7	t0	205	73.58	39.81	0.859061573	0.148264434	0.026164312	0.026164312	0.427350427	0	0.174428746	0.523286238	0.196232339	0.898308041
S36	P7	t1	213	60.53	26.74	4.275184275	0.348894349	0	0.103194103	0.122850123	0.063882064	0.491400491	0.034398034	0.26044226	0.171990172
S37	P8	t0	219	87.52	49.54	1.808582341	0.578521681	3.252078185	0.028083577	0.376319928	0.089867446	0.073017299	1.274994383	0.848124017	0.662772411
S38	P8	t1	201	67.79	32.37	3.820033956	0.267728876	0.692177093	0	0.306908711	0.117539506	0.084889643	0.248138958	0.639937312	0.091419616
S39	P9	t0	217	85.2	45.4	7.246693362	0.999878656	0.378594831	0.01698823	1.368765926	2.074990899	0.584880476	1.414876835	1.113942483	1.22315253
S40	P9	t1	161	59	32.5	9.525311465	0.646585712	0.544078221	0.118277874	0.764863586	0.772748778	1.253745466	0.473111497	1.387793723	0.843715502
